-0.81,0.05,0.7,0.66,0.91,0.05,
12.14.2021 14:57:09:4,TP22176,A,Move,3,1, 1,1, -0,9,5,1, 0,5, 0,2
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
12.14.2021 14:57:09:420,TP22176,A,Move,3,4, 1,1, -0,7,5,1, 0,5, 0,2
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
12.14.2021 14:57:11:103,TP22176,A,TakeOff,4,7, 1,1, 0,0,
12.14.2021 14:57:11:115,TP22176,A,exitTP,-8,8, 0,6, -10,5,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.72,0.05,0.83,0.05,0.7,0.05,
-0.81,0.05,0.7,0.66,0.83,0.05,
-0.72,0.05,0.83,0.05,0.7,0.05,
-0.81,0.05,0.7,0.66,0.83,0.05,
